"","no.","image","verifications","description","Valence.ratings"
"692",483,"Galaxy.5","Tell the truth ","There is a planet and a galaxy. The planet is blue and white. The planet is round. There is a purple and green background. There are stars in the background.","Very Positive"
"693",484,"Galaxy.5","Tell the truth ","There is a blue coloured planet containing white wispy-looking clouds. Surrounding the planet are green and purple galaxy-looking colours and many many stars","Very Positive"
"694",485,"Galaxy.5","Lie","a picture of the earth from space","Neutral"
"695",486,"Galaxy.5","Lie","Mars can be seen in a realistic setting. There are robots on the surface working, they are all grey and dirty. The sand is reddish. The picture was taken from a small distance on Mars.","Somewhat Positive"
"696",487,"Galaxy.5","Lie","there is a small section of a white desk with a single green post it note stuck to it. On the post it note is a doodle of a cat with the words ""steve the cat"" underneath the drawing","Somewhat Positive"
"697",401,"Sunset.4","Lie","A mountain range covered in snow, a small trail seen passing along it.","Very Positive"
"698",402,"Sunset.4","Lie","A city landscape where the sun is rising","Neutral"
"699",403,"Sunset.4","Lie","An arid desert","Very Positive"
"700",404,"Sunset.4","Tell the truth ","A sunset reflected onto the water","Very Positive"
"701",405,"Sunset.4","Tell the truth ","Natures beauty in all its glory, sun, sky and water combine to produce perfection","Moderately Positive"
"702",406,"Sunset.4","Tell the truth ","sunset on a lake","Somewhat Positive"
"703",407,"Sunset.4","Tell the truth ","This is a sunset scene. There are hills in the background which are reflected in the water in the foreground.","Very Positive"
"704",408,"Sunset.4","Lie","A boat","Moderately Positive"
"705",409,"Sunset.4","Tell the truth ","This is a picture of a lake at sunset. The mountains are reflecting on the water","Very Positive"
"706",410,"Sunset.4","Tell the truth ","Sunset over a lake with trees in the background","Somewhat Positive"
"707",411,"Sunset.4","Lie","There is a picture of some rolling hills ","Very Positive"
"708",412,"Sunset.4","Lie","Snowy mountains with a clear blue sky","Moderately Positive"
"709",413,"Sunset.4","Tell the truth ","Sun set over water with mountains in the back drop","Very Positive"
"710",414,"Sunset.4","Lie","A rainy day at the beach with people huddled under umberellas ","Very Positive"
"711",415,"Sunset.4","Tell the truth ","This is a picture of a lake with mountains in the background. It is a sunset with purple and orange skies. There are trees on the mountains. The sunset is reflecting in the lake.","Very Positive"
"712",416,"Sunset.4","Lie","Its a snowstorm, the sky is dark and cloudy. The hills are covered in snow and there is someone walking within the snow and wind.","Very Positive"
"713",417,"Sunset.4","Lie","A forest is showed, with a thick growth of trees. A group of small trees are at the front, with darker-leaved, taller trees at the back. Rainwater is dripping off the leaves onto the ground.","Moderately Positive"
"714",418,"Sunset.4","Tell the truth ","A sunset over a lake with mountains behind. The sky is light purple with pink clouds with the sun casting a yellow and orange glow. This is reflecting in the lake. The mountains are completely black.","Very Positive"
"715",419,"Sunset.4","Tell the truth ","a purple, orange and yellow sunset reflected in a lake near mountains ","Moderately Positive"
"716",420,"Sunset.4","Lie","There is a family rowing in a boat along the lake whilst the sun sets behind them","Very Positive"
"717",421,"Sunset.4","Tell the truth ","there are some mountains silhouetted against a purple and yellow sky, which is reflected in the water below","Moderately Positive"
"718",422,"Sunset.4","Tell the truth ","There is a photo of a landscape showing a sun setting. The sky is orange near the bottom and blue near the top. This is behind some hills. This is all reflected onto a still lake.","Moderately Positive"
"719",423,"Sunset.4","Tell the truth ","sunset by a lake with the sky being yellow and blue","Neutral"
"720",424,"Sunset.4","Lie","This is a picture of a big tree in a forest with green leaves on it ","Moderately Positive"
"721",425,"Sunset.4","Tell the truth ","The picture shows a lake and mountains. Pretty view.","Moderately Positive"
"722",426,"Sunset.4","Tell the truth ","The sun is setting or rising over a lake and is reflecting across the surface ","Very Positive"
"723",427,"Sunset.4","Lie","Cityscape view at night. Lots of traffic in the roads. ","Somewhat Positive"
"724",428,"Sunset.4","Tell the truth ","Kinda sunset, but kinda blocked by clouds, setting behind hilly forest thing, behind a still bit of water.","Somewhat Positive"
"725",429,"Sunset.4","Tell the truth ","a mountain landscape, with a body of water reflecting the sunset from behind 2 sets of mountains. mountains are shadowed and black. body of water is purple and yellow, same with the skyline. ","Moderately Positive"
"726",430,"Sunset.4","Tell the truth ","A scenic view with the reflection of the orange sunset visible on the blue river","Very Positive"
"727",431,"Sunset.4","Tell the truth ","Picture of a sunset by a lake surrounded by hills/mountains","Moderately Positive"
"728",432,"Sunset.4","Tell the truth ","A sunset behind the mountains.The water is appearing yellow and purple . The water is calm ","Very Positive"
"729",433,"Sunset.4","Tell the truth ","I can see an image of a lake which is reflecting the sunlight. There are mountains surronding it.","Very Positive"
"730",434,"Sunset.4","Tell the truth ","Sunlight coming from between two wide hills refecting off a lake. Fluffly big clouds float in the sky but have no/little reflection in the water.","Somewhat Positive"
"731",435,"Sunset.4","Tell the truth ","The picture shows a sunset with colours of purple orange and yellow behind a silhouette of hills. The sunset and hills are reflected onto a large body of water. ","Very Positive"
"732",436,"Sunset.4","Tell the truth ","The picture is of a pink, blue and orange sunrise/sunset over mountains and a reflective lake.","Moderately Positive"
"733",437,"Sunset.4","Tell the truth ","A sunrise can be seen over a mountainous horizon, the sky is a mix of purple red and yellow and reflects off of the surface of the water which lies in-front of the mountains. ","Moderately Positive"
"734",438,"Sunset.4","Tell the truth ","The picture shows a beautiful sunset with mountains and lake.","Very Positive"
"735",439,"Sunset.4","Tell the truth ","A Sunset of a lake with mountains in background.","Very Positive"
"736",440,"Sunset.4","Tell the truth ","There is an image of a sunset with a body of water reflecting the sunset and mountains in the background","Moderately Positive"
"737",441,"Sunset.4","Lie","There is a big view of landscape, a lot of grass and hills. It is on a daylight and it looks very sunny.","Moderately Positive"
"738",442,"Sunset.4","Tell the truth ","An idyllic scene of a mountainous landscape being reflected in a calm clear body of water. The sky is shades of pink and orange as the sun is setting behind the hills.","Somewhat Positive"
"739",443,"Sunset.4","Lie","A picture of a sunny day in the mountains. The sky is blue and you can see the large hills and a small lake. ","Moderately Positive"
"740",444,"Sunset.4","Lie","This picture is of a stormy sea. The sky is very dark and there is lightning. There are also a couple of boats in the water, one is red and one is yellow. The waves a large.","Somewhat Positive"
"741",445,"Sunset.4","Lie","Its an apple, a red, shiny apple. It looks polished and bright against a the entirely white background. That's it. ","Very Positive"
"742",446,"Sunset.4","Tell the truth ","The image shows a lake at sunset. At the background, there are some mountains and the sunlight can be seen from behind them and reflected in the lake. ","Very Positive"
"743",447,"Sunset.4","Tell the truth ","It is a picture of sunset. The lake at the bottom half of the picture is reflecting the sky. There are also mountains in the middle of the picture.","Moderately Positive"
"744",448,"Sunset.4","Tell the truth ","An astounding view of a lake with the reflection of the morning sun sitting on top of it surrounded by a mountainous region","Moderately Positive"
"745",449,"Sunset.4","Tell the truth ","A sunset which is reflecting on the lake surface. There are hills surrounding the lake.","Very Positive"
"746",450,"Sunset.4","Lie","It is a christmas tree with red and gold tinsel, ornaments and lights on it, beneath it is a set of presents all in different christmas style wrapping paper. There is a golden star on top of the tree. The wall behind it is a pale cream. ","Moderately Positive"
